symbol,rev_growth_score,pat_growth_score,roe_score,de_score,promoter_score,pe,pb,roe_pct,de_ratio,rev_growth_pct,pat_growth_pct,promoter_pct,eps,book_value,market_cap,last_updated,source
COCHINSHIP,3,3,2,2,2,56.09,7.03,12.54,0.0,-0.15,-0.15,0.0,27.17,216.71,400908812288.0,2026-05-27,yfinance
COFORGE,3,3,4,3,3,31.68,4.89,15.43,0.3,-2.42,-2.42,63.1,43.82,283.96,597011922944.0,2026-05-27,yfinance
CONCORDBIO,2,2,4,2,2,37.0,6.34,17.15,0.0,-3.44,-3.44,0.0,29.72,173.32,115035979776.0,2026-05-27,yfinance
COROMANDEL,2,2,4,2,2,27.63,4.3,15.55,0.0,-0.82,-0.82,0.0,66.3,426.28,539835564032.0,2026-05-27,yfinance
CRAFTSMAN,6,6,2,2,2,53.89,6.35,11.78,0.0,0.24,0.24,0.0,161.22,1368.2,207269249024.0,2026-05-27,yfinance
CREDITACC,5,5,1,2,2,152.65,2.63,1.72,0.0,-0.76,-0.76,0.0,8.44,489.63,206247084032.0,2026-05-27,yfinance
CROMPTON,5,5,3,2,2,0.0,6.26,0.0,0.0,-0.28,-0.28,0.0,-3.76,46.06,188399566848.0,2026-05-27,yfinance
CUB,5,5,2,2,2,14.23,1.79,12.54,0.0,-0.1,-0.1,0.0,17.84,142.21,188633513984.0,2026-05-27,yfinance
CUMMINSIND,7,6,6,3,3,74.65,21.16,28.35,0.1,11.24,11.24,51.0,80.74,284.81,1670823018496.0,2026-05-27,yfinance
CYIENT,3,3,1,2,2,23.83,1.78,7.49,0.0,-0.87,-0.87,0.0,38.5,514.27,101327396864.0,2026-05-27,yfinance
DALBHARAT,2,2,1,2,2,29.43,1.89,6.43,0.0,0.36,0.36,0.0,60.89,946.26,336428793856.0,2026-05-27,yfinance
DATAPATTNS,7,6,4,2,3,85.52,13.35,15.61,0.0,0.91,0.91,51.0,48.4,309.99,231728857088.0,2026-05-27,yfinance
DCMSHRIRAM,3,3,2,2,2,19.72,2.18,11.07,0.0,-0.79,-0.79,0.0,54.72,494.3,167125893120.0,2026-05-27,yfinance
